episodes,Michael,Dwight,Jim,Pam,Andy,Angela,Kevin,Erin,Oscar,Ryan,Darryl,Phyllis,Jan,Toby,Kelly,Stanley,Meredith,Holly,David,Nellie
103,0.2844311377,0.1107784431,0.1167664671,0.04790419162,0.04790419162,0.01796407186,0.03892215569,0.03293413174,0.03892215569,0.02395209581,0,0.08083832335,0,0.01796407186,0.008982035928,0.01497005988,0.008982035928,0,0.05688622754,0
104,0.3358778626,0.1297709924,0,0.03816793893,0.007633587786,0.01526717557,0.01526717557,0,0,0.007633587786,0,0,0,0.1374045802,0,0,0,0,0,0
105,0.3106060606,0.03409090909,0.09848484848,0.0946969697,0.03787878788,0.007575757576,0.003787878788,0.02272727273,0.01893939394,0,0,0.003787878788,0,0.007575757576,0,0.003787878788,0.007575757576,0,0.1287878788,0
106,0.2305084746,0.1322033898,0.1118644068,0.01694915254,0.0813559322,0.003389830508,0.01694915254,0.07796610169,0.02033898305,0.06440677966,0,0.01355932203,0,0,0.03728813559,0,0.01355932203,0,0,0
107,0.1872,0.0752,0.2144,0.2016,0.04,0.0304,0.0464,0.056,0.0048,0.0032,0,0.0096,0,0.0016,0.0048,0.0048,0.0096,0,0,0
108,0.1863799283,0.1039426523,0.1433691756,0.003584229391,0.08602150538,0.01075268817,0.01075268817,0.07168458781,0.01433691756,0.01075268817,0,0.003584229391,0,0,0.01075268817,0.003584229391,0.01433691756,0,0,0
109,0.3024911032,0.153024911,0.1814946619,0.01067615658,0.05338078292,0.02135231317,0.02846975089,0.02491103203,0.003558718861,0.01067615658,0.03202846975,0.0640569395,0,0.007117437722,0.02846975089,0.03914590747,0.01067615658,0,0,0
110,0.2061281337,0.09470752089,0.09192200557,0.08635097493,0.09749303621,0.04735376045,0.01949860724,0.04456824513,0.05571030641,0.0139275766,0.0278551532,0.01671309192,0,0,0.01114206128,0.00278551532,0.00278551532,0,0,0
111,0.1869918699,0.05284552846,0.0325203252,0.1138211382,0.09756097561,0.0162601626,0.06910569106,0.2113821138,0.01219512195,0.008130081301,0.01219512195,0.00406504065,0,0.01219512195,0.0162601626,0,0.03658536585,0,0,0
112,0.262195122,0.137195122,0.112804878,0.08231707317,0.009146341463,0.009146341463,0.0243902439,0.02743902439,0.02743902439,0.01219512195,0.01219512195,0.01219512195,0,0,0.08536585366,0.006097560976,0,0,0,0
113,0.2987012987,0.1233766234,0.04545454545,0.1363636364,0.0974025974,0,0,0.00974025974,0.003246753247,0.01298701299,0.08441558442,0,0,0,0.02272727273,0.00974025974,0.003246753247,0,0,0
114,0.2515337423,0.1104294479,0.06441717791,0.09202453988,0.1257668712,0.05214723926,0.01840490798,0.03374233129,0.009202453988,0.03374233129,0.01226993865,0.0245398773,0,0.01533742331,0.01533742331,0.006134969325,0.009202453988,0,0,0
115,0.2734693878,0.07755102041,0.05306122449,0.0693877551,0.0693877551,0.01632653061,0.02857142857,0.01632653061,0.008163265306,0.008163265306,0.02448979592,0.02040816327,0,0.02857142857,0.02040816327,0.008163265306,0,0,0,0
116,0.2567567568,0.09009009009,0.0990990991,0.1126126126,0.05855855856,0.009009009009,0.02252252252,0.03153153153,0.03603603604,0,0.02252252252,0.02702702703,0,0.009009009009,0.01351351351,0.009009009009,0.01351351351,0,0,0
117,0.1156716418,0.1791044776,0.1268656716,0.1455223881,0.04850746269,0.01492537313,0,0.01492537313,0.02611940299,0.01119402985,0.01492537313,0.01119402985,0,0.1305970149,0.0223880597,0.01119402985,0,0,0,0
118,0.1877729258,0.07423580786,0.08296943231,0.07423580786,0.2139737991,0.06986899563,0,0.08296943231,0.004366812227,0,0.0480349345,0.01746724891,0,0,0.008733624454,0.008733624454,0.004366812227,0,0,0
119,0.2741433022,0.1277258567,0.01246105919,0.02492211838,0.1246105919,0.006230529595,0.03115264798,0.01246105919,0.02180685358,0.003115264798,0.02492211838,0.01557632399,0.04984423676,0,0.01557632399,0.01246105919,0.02180685358,0.04984423676,0,0
120,0.2179487179,0.1435897436,0.1512820513,0.02564102564,0.09743589744,0.005128205128,0.03076923077,0.005128205128,0.04102564103,0.007692307692,0.05897435897,0.02051282051,0,0,0.007692307692,0.01282051282,0.03846153846,0,0,0
121,0.2077464789,0.04929577465,0.09507042254,0.08450704225,0.05633802817,0.0176056338,0.06690140845,0.02464788732,0.02816901408,0.02112676056,0.09154929577,0.0176056338,0,0.01408450704,0.0176056338,0.02464788732,0.003521126761,0,0,0
122,0.2587412587,0.05594405594,0.1328671329,0.1153846154,0.08741258741,0.02797202797,0.01398601399,0.03146853147,0.006993006993,0.02097902098,0.006993006993,0.01748251748,0,0.01048951049,0.006993006993,0.01048951049,0,0,0,0
123,0.1856060606,0.09848484848,0.06818181818,0.08712121212,0.1022727273,0.03409090909,0.03409090909,0.1325757576,0.02651515152,0.01136363636,0,0.04545454545,0,0,0.04924242424,0.003787878788,0,0,0,0
124,0.2142857143,0.07792207792,0.07792207792,0.09090909091,0.03246753247,0.06493506494,0.02922077922,0.02272727273,0.01623376623,0.1753246753,0,0.003246753247,0,0,0.01623376623,0.02272727273,0,0,0,0
125,0.1806451613,0.1548387097,0.08709677419,0.1483870968,0.07419354839,0.009677419355,0.02580645161,0.03225806452,0.08064516129,0.02258064516,0.04193548387,0.009677419355,0,0,0.02580645161,0.01935483871,0.006451612903,0,0,0
