character,season,episode,percent
Andy,169,9,0.1908127208
Andy,170,9,0.03071672355
Andy,171,9,0
Andy,172,9,0
Andy,173,9,0
Andy,174,9,0
Andy,175,9,0
Andy,176,9,0
Andy,177,9,0
Andy,178,9,0.2384615385
Andy,179,9,0.1656686627
Andy,180,9,0.02283105023
Andy,181,9,0.03459119497
Andy,182,9,0.1135531136
Andy,183,9,0.1666666667
Andy,184,9,0.1780104712
Andy,185,9,0.08764940239
Andy,186,9,0.05847953216
Angela,1,1,0.004366812227
Angela,2,1,0.0197044335
Angela,3,1,0.02040816327
Angela,4,1,0.02880658436
Angela,5,1,0.01382488479
Angela,6,1,0.008670520231
Angela,7,2,0.003891050584
Angela,8,2,0.007067137809
Angela,9,2,0.02127659574
Angela,10,2,0.05329153605
Angela,11,2,0.04832713755
Angela,12,2,0.01119402985
Angela,13,2,0
Angela,14,2,0.01824817518
Angela,15,2,0.04727272727
Angela,16,2,0.03249097473
Angela,17,2,0.004484304933
Angela,18,2,0.01373626374
Angela,19,2,0.01886792453
Angela,20,2,0.007662835249
Angela,21,2,0.01785714286
Angela,22,2,0.0198019802
Angela,23,2,0.0193236715
Angela,24,2,0.01498127341
